********************************************************************************
product = WebSphere Application Server 16.0.0.4 (wlp-1.0.15.cl160420161113-0206)
wlp.install.dir = /Users/christophervignola/projects/java/java-ms-64/target/liberty/wlp/
java.home = /Library/Java/JavaVirtualMachines/jdk1.8.0_121.jdk/Contents/Home/jre
java.version = 1.8.0_121
java.runtime = Java(TM) SE Runtime Environment (1.8.0_121-b13)
os = Mac OS X (10.12.3; x86_64) (en_US)
process = 80702@ChristophersMBP
********************************************************************************
[3/8/17 15:24:49:722 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer has been launched.
[3/8/17 15:24:49:733 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0100I: This product is licensed for development, and limited production use. The full license terms can be viewed here: https://public.dhe.ibm.com/ibmdl/export/pub/software/websphere/wasdev/license/base_ilan/ilan/16.0.0.4/lafiles/en.html
[3/8/17 15:24:50:824 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 2.643 seconds
[3/8/17 15:24:50:892 CST] 00000019 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[3/8/17 15:24:51:986 CST] 00000011 com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications. 
[3/8/17 15:24:52:233 CST] 0000001f com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0219I: TCP Channel defaultHttpEndpoint has been started and is now listening for requests on host *  (IPv6) port 9080.
[3/8/17 15:24:52:655 CST] 00000025 com.ibm.ws.app.manager.AppMessageHelper                      I CWWKZ0018I: Starting application java-ms-64-1.0-SNAPSHOT.
[3/8/17 15:24:52:951 CST] 00000025 com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory.
[3/8/17 15:24:53:011 CST] 00000025 org.jboss.weld.Version                                       I WELD-000900: 2.4.0 (Final)
[3/8/17 15:24:53:525 CST] 00000025 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: java-ms-64-1.0-SNAPSHOT.
[3/8/17 15:24:53:528 CST] 00000025 com.ibm.ws.webcontainer                                      I SRVE0250I: Web Module java-ms-64-1.0-SNAPSHOT has been bound to default_host.
[3/8/17 15:24:53:529 CST] 00000025 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Web application available (default_host): http://christophersmbp:9080/java-ms-64/
[3/8/17 15:24:53:532 CST] 00000025 com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0001I: Application java-ms-64-1.0-SNAPSHOT started in 0.877 seconds.
[3/8/17 15:24:53:551 CST] 00000019 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0012I: The server installed the following features: [servlet-3.1, jndi-1.0, json-1.0, cdi-1.2, jsonp-1.0, jaxrs-2.0, jaxrsClient-2.0].
[3/8/17 15:24:53:552 CST] 00000019 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0008I: Feature update completed in 2.730 seconds.
[3/8/17 15:24:53:552 CST] 00000019 com.ibm.ws.kernel.feature.internal.FeatureManager            A CWWKF0011I: The server defaultServer is ready to run a smarter planet.
[3/8/17 15:24:53:862 CST] 0000002b com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: A configuration file for a web server plugin was automatically generated for this server at /Users/christophervignola/projects/java/java-ms-64/target/liberty/wlp/usr/servers/defaultServer/logs/state/plugin-cfg.xml.
[3/8/17 15:25:01:424 CST] 0000000f com.ibm.ws.kernel.launch.internal.ServerCommandListener      A CWWKE0055I: Server shutdown requested on Wednesday, March 8, 2017 at 3:25 PM. The server defaultServer is shutting down.
[3/8/17 15:25:01:426 CST] 00000031 com.ibm.ws.runtime.update.internal.RuntimeUpdateManagerImpl  A CWWKE1100I: Waiting for up to 30 seconds for the server to quiesce.
[3/8/17 15:25:01:429 CST] 00000032 com.ibm.ws.tcpchannel.internal.TCPChannel                    I CWWKO0220I: TCP Channel defaultHttpEndpoint has stopped listening for requests on host *  (IPv6) port 9080.
[3/8/17 15:25:01:430 CST] 00000032 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0017I: Web application removed (default_host): http://christophersmbp:9080/java-ms-64/
[3/8/17 15:25:01:432 CST] 00000031 com.ibm.ws.runtime.update.internal.RuntimeUpdateManagerImpl  I CWWKE1101I: Server quiesce complete.
[3/8/17 15:25:01:464 CST] 0000001c com.ibm.ws.app.manager.AppMessageHelper                      A CWWKZ0009I: The application java-ms-64-1.0-SNAPSHOT has stopped successfully.
[3/8/17 15:25:01:674 CST] 00000001 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0036I: The server defaultServer stopped after 13.495 seconds.
